LastWriteTimestamp,BatchKeyPath,Guid,BatchValueName,Provider,Enabled,EnabledProperty
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{3aa52b8b-6357-4c18-a92e-b53fb177853b},{3aa52b8b-6357-4c18-a92e-b53fb177853b},Provider,Microsoft-Windows-International,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{3cc2d4af-da5e-4ed4-bcbe-3cf995940483},{3cc2d4af-da5e-4ed4-bcbe-3cf995940483},Provider,Microsoft-Windows-DirectShow-KernelSupport,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{40ab57c2-1c53-4df9-9324-ff7cf898a02c},{40ab57c2-1c53-4df9-9324-ff7cf898a02c},Provider,Microsoft-Windows-Diagnosis-Scheduled,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{46098845-8a94-442d-9095-366a6bcfefa9},{46098845-8a94-442d-9095-366a6bcfefa9},Provider,Microsoft-Windows-WLGPA,1,1
2/5/2025 1:00:46 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{4a933674-fb3d-4e8d-b01d-17ee14e91a3e},{4a933674-fb3d-4e8d-b01d-17ee14e91a3e},Provider,Microsoft-Windows-BranchCacheSMB,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{4ba32972-6fc5-488a-8368-5da620d05127},{4ba32972-6fc5-488a-8368-5da620d05127},Provider,Microsoft-Windows-Reliability-Analysis-Engine,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{4cb314df-c11f-47d7-9c04-65fb0051561b},{4cb314df-c11f-47d7-9c04-65fb0051561b},Provider,Microsoft-Windows-Program-Compatibility-Assistant,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{4ef850d8-bf30-4e64-a917-ee21b9be1f0a},{4ef850d8-bf30-4e64-a917-ee21b9be1f0a},Provider,Microsoft-Windows-NetworkAccessProtection,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{54164045-7c50-4905-963f-e5bc1eef0cca},{54164045-7c50-4905-963f-e5bc1eef0cca},Provider,Microsoft-Windows-CertificateServicesClient-CertEnroll,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{5b0a651a-8807-45cc-9656-7579815b6af0},{5b0a651a-8807-45cc-9656-7579815b6af0},Provider,Microsoft-Windows-RemoteAssistance,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{5b93cdfa-5f51-45e0-9fde-296983129e6c},{5b93cdfa-5f51-45e0-9fde-296983129e6c},Provider,LocationNotifications,1,1
3/10/2025 6:02:39 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{5bbca4a8-b209-48dc-a8c7-b23d3e5216fb},{5bbca4a8-b209-48dc-a8c7-b23d3e5216fb},Provider,Microsoft-Windows-CAPI2,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{5c9be3e0-3593-4dcd-8f6d-63840923ffee},{5c9be3e0-3593-4dcd-8f6d-63840923ffee},Provider,Microsoft-Windows-Resource-Leak-Diagnostic,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{5d896912-022d-40aa-a3a8-4fa5515c76d7},{5d896912-022d-40aa-a3a8-4fa5515c76d7},Provider,Microsoft-Windows-TerminalServices-LocalSessionManager,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{5ec13d8e-4b3f-422e-a7e7-3121a1d90c7a},{5ec13d8e-4b3f-422e-a7e7-3121a1d90c7a},Provider,Microsoft-Windows-ApplicationExperienceInfrastructure,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{63b530f8-29c9-4880-a5b4-b8179096e7b8},{63b530f8-29c9-4880-a5b4-b8179096e7b8},Provider,Microsoft-Windows-NlaSvc,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{63d2bb1d-e39a-41b8-9a3d-52dd06677588},{63d2bb1d-e39a-41b8-9a3d-52dd06677588},Provider,Microsoft-Windows-Shell-AuthUI,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{66a5c15c-4f8e-4044-bf6e-71d896038977},{66a5c15c-4f8e-4044-bf6e-71d896038977},Provider,Microsoft-Windows-Iphlpsvc,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{699e309c-e782-4400-98c8-e21d162d7b7b},{699e309c-e782-4400-98c8-e21d162d7b7b},Provider,Microsoft-Windows-Forwarding,1,1
7/14/2009 4:49:01 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{6a1f2b00-6a90-4c38-95a5-5cab3b056778},{6a1f2b00-6a90-4c38-95a5-5cab3b056778},Provider,Microsoft-Windows-DHCPv6-Client,1,1
2/5/2025 1:00:46 AM +00:00,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\WMI\Autologger\EventLog-Application\{6b1ffe48-5b1e-4793-9f7f-ae926454499d},{6b1ffe48-5b1e-4793-9f7f-ae926454499d},Provider,Microsoft-Windows-DiskDiagnosticResolver,1,1
