Timestamp,BatchKeyPath,KeyName,BatchValueName,DisplayName,DisplayVersion,Publisher,InstallDate,InstallSource,InstallLocation,UninstallString
2025-03-09 12:26:58.1309823,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{A03DCA8A-AAD0-4A25-8CE0-D50D73797233},{A03DCA8A-AAD0-4A25-8CE0-D50D73797233},Multiple,Python 3.7.0 Add to Path (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{A03DCA8A-AAD0-4A25-8CE0-D50D73797233}v3.7.150.0\,,MsiExec.exe /I{A03DCA8A-AAD0-4A25-8CE0-D50D73797233}
2025-03-09 12:26:50.6135049,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{A2FC01E0-059E-4D21-AFD2-B63A7E1EF3CD},{A2FC01E0-059E-4D21-AFD2-B63A7E1EF3CD},Multiple,Python 3.7.0 Tcl/Tk Support (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{A2FC01E0-059E-4D21-AFD2-B63A7E1EF3CD}v3.7.150.0\,,MsiExec.exe /I{A2FC01E0-059E-4D21-AFD2-B63A7E1EF3CD}
2025-02-20 06:54:25.1142651,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{ADAE770F-C18C-47C2-9CA3-B67AC3789684},{ADAE770F-C18C-47C2-9CA3-B67AC3789684},Multiple,Microsoft .NET Host FX Resolver - 9.0.2 (x64),72.8.27978,Microsoft Corporation,20250219,C:\ProgramData\Package Cache\{ADAE770F-C18C-47C2-9CA3-B67AC3789684}v72.8.27978\,,MsiExec.exe /X{ADAE770F-C18C-47C2-9CA3-B67AC3789684}
2025-02-20 07:06:55.1869132,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{C6FD611E-7EFE-488C-A0E0-974C09EF6473},{C6FD611E-7EFE-488C-A0E0-974C09EF6473},Multiple,Microsoft Update Health Tools,5.72.0.0,Microsoft Corporation,20250219,C:\Windows\TEMP\17C8B7B6-5F36-43FF-9149-39FD784951ED\,,MsiExec.exe /X{C6FD611E-7EFE-488C-A0E0-974C09EF6473}
2025-03-10 01:50:13.5117872,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{C8D69A6F-6E66-4FCE-834E-31BAD63917B0},{C8D69A6F-6E66-4FCE-834E-31BAD63917B0},Multiple,Microsoft Windows Desktop Runtime - 9.0.2 (x64),72.8.27988,Microsoft Corporation,20250309,C:\ProgramData\Package Cache\{C8D69A6F-6E66-4FCE-834E-31BAD63917B0}v72.8.27988\,,MsiExec.exe /X{C8D69A6F-6E66-4FCE-834E-31BAD63917B0}
2025-02-04 08:36:08.1718330,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{D5D19E2F-7189-42FE-8103-92CD1FA457C2},{D5D19E2F-7189-42FE-8103-92CD1FA457C2},Multiple,Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.36.32532,14.36.32532,Microsoft Corporation,20250204,C:\ProgramData\Package Cache\{D5D19E2F-7189-42FE-8103-92CD1FA457C2}v14.36.32532\packages\vcRuntimeMinimum_amd64\,,MsiExec.exe /I{D5D19E2F-7189-42FE-8103-92CD1FA457C2}
2025-03-09 12:26:46.4088546,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{E4266358-1C9B-4AF0-ABF7-72BE136904CF},{E4266358-1C9B-4AF0-ABF7-72BE136904CF},Multiple,Python 3.7.0 Test Suite (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{E4266358-1C9B-4AF0-ABF7-72BE136904CF}v3.7.150.0\,,MsiExec.exe /I{E4266358-1C9B-4AF0-ABF7-72BE136904CF}
2025-03-09 12:26:46.7056303,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{E7C56E72-C80E-453B-9345-FAEAE5DB51A4},{E7C56E72-C80E-453B-9345-FAEAE5DB51A4},Multiple,Python 3.7.0 Documentation (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{E7C56E72-C80E-453B-9345-FAEAE5DB51A4}v3.7.150.0\,,MsiExec.exe /I{E7C56E72-C80E-453B-9345-FAEAE5DB51A4}
2025-02-20 06:54:26.2506956,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{E911EEC4-D138-4C3E-B9ED-B1E49AA02F0F},{E911EEC4-D138-4C3E-B9ED-B1E49AA02F0F},Multiple,Microsoft .NET Host - 9.0.2 (x64),72.8.27978,Microsoft Corporation,20250219,C:\ProgramData\Package Cache\{E911EEC4-D138-4C3E-B9ED-B1E49AA02F0F}v72.8.27978\,,MsiExec.exe /X{E911EEC4-D138-4C3E-B9ED-B1E49AA02F0F}
2025-03-09 12:26:40.8754420,ROOT\Microsoft\Windows\CurrentVersion\Uninstall\{F046BD5A-33F4-4ABA-BD2D-0227F6291EC9},{F046BD5A-33F4-4ABA-BD2D-0227F6291EC9},Multiple,Python 3.7.0 Core Interpreter (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\hans\AppData\Local\Package Cache\{F046BD5A-33F4-4ABA-BD2D-0227F6291EC9}v3.7.150.0\,,MsiExec.exe /I{F046BD5A-33F4-4ABA-BD2D-0227F6291EC9}
