FirstNetwork,BatchKeyPath,NetworkName,BatchValueName,NameType,FirstConnectLOCAL,LastConnectedLOCAL,Managed,DNSSuffix,GatewayMacAddress,ProfileGUID
Network 2,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{0346FC9C-029A-4CB6-96CA-9303A83D4F6C},Network 2,Multiple,Wired,2025-03-08 21:53:56.4990000,2025-03-09 18:35:22.1660000,False,localdomain,00-50-56-E4-37-7B,{0346FC9C-029A-4CB6-96CA-9303A83D4F6C}
Network,ROOT\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{990AE857-7268-4CDF-9C13-1F4C0D1AFA87},Network,Multiple,Wired,2025-02-04 00:10:50.0680000,2025-02-26 21:25:43.8090000,False,localdomain,00-50-56-E5-E0-63,{990AE857-7268-4CDF-9C13-1F4C0D1AFA87}
