CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-03-10 04:56:24.2874313,C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1,98304,347A2A2D1CB204D9286964DA804393FD1EA5B908,True,2025-02-05 00:08:55.7282255,2025-02-05 00:08:55.7282255,2025-02-05 00:08:55.7282255,00:00:00
2025-03-10 04:56:24.2874313,C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2,65536,D02BEC3A27F251EC0D5351E7559E5537051C4B14,True,2025-02-05 00:08:55.7282255,2025-02-05 00:08:55.7282255,2025-02-05 00:08:55.7282255,00:00:00
2025-03-10 04:56:24.3967644,C:\Users\hans\NTUSER.DAT,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Users\hans\NTUSER.DAT,2883584,526E7B310772C5A1D99FD05446832A522DB08983,True,2025-02-04 08:25:03.5850304,2025-03-10 04:30:55.8218174,2025-03-10 04:30:55.8218174,00:00:00
2025-03-10 04:56:24.4121057,C:\users\hans\ntuser.dat.LOG1,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\users\hans\ntuser.dat.LOG1,811008,EF9F61DAFBCA7FF1DD6F128E3CC2BF708860372C,True,2025-02-04 08:25:03.6639496,2025-02-04 08:25:03.6639496,2025-02-04 08:25:03.6639496,00:00:00
2025-03-10 04:56:24.4434019,C:\users\hans\ntuser.dat.LOG2,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\users\hans\ntuser.dat.LOG2,730112,717EA1C58F324561FAA9141244D246353761FF61,True,2025-02-04 08:25:03.6639496,2025-02-04 08:25:03.6639496,2025-02-04 08:25:03.6639496,00:00:00
2025-03-10 04:56:24.4589817,C:\Windows\System32\config\DEFAULT,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\DEFAULT,524288,D4295003A41DB113D14F7E541D11679CCDAD3E79,True,2022-05-07 05:17:22.6317749,2025-03-10 04:31:02.3721771,2025-03-10 04:31:02.3721771,00:00:00
2025-03-10 04:56:24.4746786,C:\Windows\System32\config\DEFAULT.LOG1,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\DEFAULT.LOG1,159744,27D02A207D8567B73ACFB39AA7A2715D1F43F91C,True,2022-05-07 05:17:22.7255031,2022-05-07 05:17:22.7255031,2022-05-07 05:17:22.7255031,00:00:00
2025-03-10 04:56:24.4746786,C:\Windows\System32\config\DEFAULT.LOG2,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\Windows\System32\config\DEFAULT.LOG2,159744,E9116B9FCE0B1E479FF83B73A320A5417BAEBFC0,True,2022-05-07 05:17:22.7255031,2022-05-07 05:17:22.7255031,2022-05-07 05:17:22.7255031,00:00:00
2025-03-10 04:56:24.6464988,C:\users\hans\AppData\Local\Microsoft\Windows\UsrClass.dat,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\users\hans\AppData\Local\Microsoft\Windows\UsrClass.dat,3407872,908536C33E2EB5C1EC5599AE76ADF049A43504F1,True,2025-02-04 08:25:03.7271731,2025-03-10 04:30:55.8063060,2025-03-10 04:30:55.8063060,00:00:00
2025-03-10 04:56:24.6621154,C:\users\hans\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\users\hans\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1,524288,722048E187B7493FDD6222B67F913E67D29D2775,True,2025-02-04 08:25:03.7271731,2025-02-04 08:25:03.7271731,2025-02-04 08:25:03.7271731,00:00:00
2025-03-10 04:56:24.6621154,C:\users\hans\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2,C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-09_21-56-13\C\users\hans\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2,65536,3C388CE3FD01E8BC79E32AD6DA1A72EF7F7C4616,True,2025-02-04 08:25:03.7271731,2025-02-04 08:25:03.7271731,2025-02-04 08:25:03.7271731,00:00:00
