CacheEntryPosition,BatchKeyPath,ProgramName,BatchValueName,ModifiedTime
32,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	03e8585d128a0000	000a00007fff0000	8664	MicrosoftWindows.LKG.AccountsService	cw5n1h2txyewy	,AppCompatCache,
33,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	1770010a07e90000	000c000000000000	8664	Microsoft.WindowsAppRuntime.CBS.1.6	8wekyb3d8bbwe	,AppCompatCache,
34,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Programs\Microsoft VS Code\tools\inno_updater.exe,AppCompatCache,2025-03-05 06:00:14.0000000
35,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25010.11-0\NisSrv.exe,AppCompatCache,2025-03-09 06:04:25.0140000
36,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25010.11-0\MsMpEng.exe,AppCompatCache,2025-03-09 06:04:24.9830000
37,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25010.11-0\MpDefenderCoreService.exe,AppCompatCache,2025-03-09 06:04:24.9360000
38,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SystemTemp\63B3DB96-5E11-4F72-9592-207F39F0A004\MpRecovery.exe,AppCompatCache,2025-03-09 06:04:24.9670000
39,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SystemTemp\63B3DB96-5E11-4F72-9592-207F39F0A004\MpSigStub.exe,AppCompatCache,2025-03-09 06:04:24.9830000
40,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\UpdatePlatform.amd64fre.exe,AppCompatCache,2025-03-09 06:04:23.8701136
41,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\regedit.exe,AppCompatCache,2025-02-20 06:58:56.3254734
42,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\notepad.exe,AppCompatCache,2023-10-01 06:51:29.1461550
43,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\HelpPane.exe,AppCompatCache,2023-10-01 06:50:23.4371621
44,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\hh.exe,AppCompatCache,2022-05-07 05:20:06.1862667
45,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\bfsvc.exe,AppCompatCache,2023-10-01 06:47:44.3454991
46,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\133.0.3065.92\msedgewebview2.exe,AppCompatCache,2025-02-27 06:50:41.7089579
47,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.225.2131.0_x64__8wekyb3d8bbwe\GameBarFTServer.exe,AppCompatCache,2025-02-24 13:25:26.6464962
48,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.XboxGamingOverlay_7.225.2131.0_x64__8wekyb3d8bbwe\Application,AppCompatCache,2025-02-24 13:25:29.6383311
49,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000700e108530000	0000000000000000	8664	Microsoft.XboxGamingOverlay	8wekyb3d8bbwe	,AppCompatCache,
50,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0001001862700000	0000000000000000	8664	Microsoft.DesktopAppInstaller	8wekyb3d8bbwe	,AppCompatCache,
51,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.DesktopAppInstaller_1.24.25200.0_x64__8wekyb3d8bbwe\WindowsPackageManagerServer.exe,AppCompatCache,2025-02-20 06:45:02.2872715
52,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\is-IILJP.tmp\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.tmp,AppCompatCache,2025-03-09 05:56:29.2627972
53,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\vscode-stable-user-x64\CodeSetup-stable-6609ac3d66f4eade5cf376d1cb76f13985724bcb.exe,AppCompatCache,2025-03-09 05:56:27.5741897
54,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{F52AB937-E930-4064-8752-1E90870B8420}\EDGEMITMP_0864D.tmp\setup.exe,AppCompatCache,2025-03-09 05:56:20.7549425
55,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{F52AB937-E930-4064-8752-1E90870B8420}\MicrosoftEdge_X64_133.0.3065.92_133.0.3065.82.exe,AppCompatCache,2025-03-09 05:56:19.7675274
56,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\Edge\Application\134.0.3124.51\Installer\setup.exe,AppCompatCache,2025-03-09 05:55:21.2839323
57,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\$Recycle.Bin\S-1-5-21-3772742331-1108507784-3781162965-1001\$RDORDNU.exe,AppCompatCache,2025-02-20 06:09:26.3167217
58,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\$Recycle.Bin\S-1-5-21-3772742331-1108507784-3781162965-1001\$RVIOJX9.exe,AppCompatCache,2025-02-20 06:54:10.9607454
59,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\$Recycle.Bin\S-1-5-21-3772742331-1108507784-3781162965-1001\$R4O94PI.exe,AppCompatCache,2025-02-18 05:10:15.5903375
60,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{865BC559-CEE5-4B0E-B48A-5CE55E0E63CC}\EDGEMITMP_D526C.tmp\setup.exe,AppCompatCache,2025-03-09 05:55:21.2839323
61,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{865BC559-CEE5-4B0E-B48A-5CE55E0E63CC}\MicrosoftEdge_X64_134.0.3124.51_133.0.3065.82.exe,AppCompatCache,2025-03-09 05:55:18.9070900
62,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Engine_Patch_1.1.25010.7.exe,AppCompatCache,2025-03-09 05:54:46.2847700
63,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.025.0209.0001\Microsoft.SharePoint.exe,AppCompatCache,2025-03-09 05:54:31.7786630
64,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.025.0209.0001\FileCoAuth.exe,AppCompatCache,2025-03-09 05:54:30.3351534
65,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.025.0209.0001\FileSyncConfig.exe,AppCompatCache,2025-03-09 05:54:30.5387762
66,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.195.45\MicrosoftEdgeUpdateComRegisterShell64.exe,AppCompatCache,2025-03-09 05:54:23.1158392
67,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\Temp\EU970F.tmp\MicrosoftEdgeUpdate.exe,AppCompatCache,2025-03-09 05:54:23.0996672
68,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{C6864819-B797-4A4A-A9B8-5829BB0F2CAF}\MicrosoftEdgeUpdateSetup_X86_1.3.195.45.exe,AppCompatCache,2025-03-09 05:54:22.2686682
69,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\ModifiedFiles\File001.exe,AppCompatCache,2025-02-27 05:22:43.5636880
70,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.020.0202.0001\Microsoft.SharePoint.exe,AppCompatCache,2025-02-27 05:26:52.0165282
71,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.020.0202.0001\FileCoAuth.exe,AppCompatCache,2025-02-27 05:26:47.8554824
72,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.020.0202.0001\FileSyncConfig.exe,AppCompatCache,2025-02-27 05:26:49.5708999
73,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\System32\DataExchangeHost.exe,AppCompatCache,2025-02-20 06:58:39.2966316
74,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\HxD\unins000.exe,AppCompatCache,2025-02-24 13:31:13.2806926
75,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\HxD\HxD.exe,AppCompatCache,2021-02-11 06:20:12.0000000
76,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\is-VH603.tmp\HxDSetup.tmp,AppCompatCache,2025-02-24 13:31:13.2806926
77,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Temp\is-OAF1K.tmp\HxDSetup.tmp,AppCompatCache,2025-02-24 13:31:08.4219958
78,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\Downloads\HxDSetup\HxDSetup.exe,AppCompatCache,2021-02-11 06:27:58.0000000
79,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\SecureBootEncodeUEFI.exe,AppCompatCache,2025-02-20 06:58:21.4160998
80,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000700e108530000	000a000055f00000	8664	Microsoft.XboxGamingOverlay	8wekyb3d8bbwe	,AppCompatCache,
81,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	001209c604aa0000	000a000065f40000	8664	Microsoft.MicrosoftOfficeHub	8wekyb3d8bbwe	,AppCompatCache,
82,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0001000005540000	000a00004a610000	8664	Microsoft.PowerAutomateDesktop	8wekyb3d8bbwe	,AppCompatCache,
83,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\Windows-KB890830-x64-V5.132.exe,AppCompatCache,2025-02-24 05:23:07.0636207
84,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	000b096a00150000	0000000000000000	8664	Microsoft.WindowsNotepad	8wekyb3d8bbwe	,AppCompatCache,
85,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2410.21.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe,AppCompatCache,2025-02-20 07:01:31.8233695
86,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\system32\OpenWith.exe,AppCompatCache,2023-10-01 06:49:20.4786147
87,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.423.74.0.exe,AppCompatCache,2025-02-24 12:43:10.4377034
88,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.015.0126.0002\OneDriveLauncher.exe,AppCompatCache,2025-02-24 11:05:48.1289256
89,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.10351.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe,AppCompatCache,2025-02-20 07:06:15.6025067
90,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	00010015286f0000	0000000000000000	8664	Microsoft.WindowsTerminal	8wekyb3d8bbwe	,AppCompatCache,
91,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.21.10351.0_x64__8wekyb3d8bbwe\OpenConsole.exe,AppCompatCache,2025-02-20 07:06:15.4449286
92,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.015.0126.0002\Microsoft.SharePoint.exe,AppCompatCache,2025-02-24 11:05:46.0952882
93,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.015.0126.0002\FileCoAuth.exe,AppCompatCache,2025-02-24 11:05:37.9766571
94,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Users\hans\AppData\Local\Microsoft\OneDrive\25.015.0126.0002\FileSyncConfig.exe,AppCompatCache,2025-02-24 11:05:39.0332119
95,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\133.0.3065.82\msedgewebview2.exe,AppCompatCache,2025-02-20 23:42:32.2440166
96,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	001209c604980000	0000000000000000	8664	Microsoft.MicrosoftOfficeHub	8wekyb3d8bbwe	,AppCompatCache,
97,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_18.2502.1176.0_x64__8wekyb3d8bbwe\WebViewHost.exe,AppCompatCache,2025-02-20 07:07:38.1796810
98,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,00000009	0001000200020000	000a000065f40000	8664	Microsoft.VP9VideoExtensions	8wekyb3d8bbwe	,AppCompatCache,
99,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\Edge\Application\133.0.3065.82\identity_helper.exe,AppCompatCache,2025-02-20 23:42:44.8704443
100,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\Edge\Application\133.0.3065.82\elevation_service.exe,AppCompatCache,2025-02-20 23:42:18.4617238
101,ROOT\ControlSet001\Control\Session Manager\AppCompatCache,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\133.0.3065.82\Installer\setup.exe,AppCompatCache,2025-02-24 05:08:28.8455145
