FirstNetwork,BatchKeyPath,NetworkName,BatchValueName,NameType,FirstConnectLOCAL,LastConnectedLOCAL,Managed,DNSSuffix,GatewayMacAddress,ProfileGUID
Network  2,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{22DE0978-542E-48F4-956E-B9C714048738},Network  2,Multiple,Wired,2025-03-09 19:35:59.2280000,2025-03-10 13:59:15.3140000,False,localdomain,00-50-56-E4-37-7B,{22DE0978-542E-48F4-956E-B9C714048738}
Network,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles\{9683AF93-0093-4D45-B7BC-12E4C8937B62},Network,Multiple,Wired,2025-02-04 17:01:56.5750000,2025-02-04 21:53:35.2680000,False,localdomain,00-50-56-E5-E0-63,{9683AF93-0093-4D45-B7BC-12E4C8937B62}
