Timestamp,BatchKeyPath,KeyName,BatchValueName,DisplayName,DisplayVersion,Publisher,InstallDate,InstallSource,InstallLocation,UninstallString
2025-02-04 12:22:19.3343605,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\{9D79A83A-8F84-4B3C-BADB-2EE8A22F5194},{9D79A83A-8F84-4B3C-BADB-2EE8A22F5194},Multiple,AccessData FTK Imager,4.7.1.2,AccessData,20250204,C:\Users\mrkdqp\AppData\Local\Temp\{2C57B766-F447-4844-9312-939AE5D9E815}\,C:\Program Files\AccessData\,MsiExec.exe /X{9D79A83A-8F84-4B3C-BADB-2EE8A22F5194}
2025-03-09 12:37:24.9441184,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\{9E24E01B-CBD8-4558-A56D-6188F1A3C822},{9E24E01B-CBD8-4558-A56D-6188F1A3C822},Multiple,Python 3.7.0 Utility Scripts (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\mrkdqp\AppData\Local\Package Cache\{9E24E01B-CBD8-4558-A56D-6188F1A3C822}v3.7.150.0\,,MsiExec.exe /I{9E24E01B-CBD8-4558-A56D-6188F1A3C822}
2025-03-09 12:37:59.1780765,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\{A03DCA8A-AAD0-4A25-8CE0-D50D73797233},{A03DCA8A-AAD0-4A25-8CE0-D50D73797233},Multiple,Python 3.7.0 Add to Path (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\mrkdqp\AppData\Local\Package Cache\{A03DCA8A-AAD0-4A25-8CE0-D50D73797233}v3.7.150.0\,,MsiExec.exe /I{A03DCA8A-AAD0-4A25-8CE0-D50D73797233}
2025-03-09 12:37:26.3281976,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\{A2FC01E0-059E-4D21-AFD2-B63A7E1EF3CD},{A2FC01E0-059E-4D21-AFD2-B63A7E1EF3CD},Multiple,Python 3.7.0 Tcl/Tk Support (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\mrkdqp\AppData\Local\Package Cache\{A2FC01E0-059E-4D21-AFD2-B63A7E1EF3CD}v3.7.150.0\,,MsiExec.exe /I{A2FC01E0-059E-4D21-AFD2-B63A7E1EF3CD}
2025-03-09 12:37:20.4888636,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\{A37820E7-4E89-4B6E-B584-B13E703B26F7},{A37820E7-4E89-4B6E-B584-B13E703B26F7},Multiple,Python 3.7.0 C Runtime Library (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\mrkdqp\AppData\Local\Package Cache\{A37820E7-4E89-4B6E-B584-B13E703B26F7}v3.7.150.0\,,MsiExec.exe /I{A37820E7-4E89-4B6E-B584-B13E703B26F7}
2025-03-09 12:37:24.5970985,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\{E4266358-1C9B-4AF0-ABF7-72BE136904CF},{E4266358-1C9B-4AF0-ABF7-72BE136904CF},Multiple,Python 3.7.0 Test Suite (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\mrkdqp\AppData\Local\Package Cache\{E4266358-1C9B-4AF0-ABF7-72BE136904CF}v3.7.150.0\,,MsiExec.exe /I{E4266358-1C9B-4AF0-ABF7-72BE136904CF}
2025-03-09 12:37:24.7911096,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\{E7C56E72-C80E-453B-9345-FAEAE5DB51A4},{E7C56E72-C80E-453B-9345-FAEAE5DB51A4},Multiple,Python 3.7.0 Documentation (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\mrkdqp\AppData\Local\Package Cache\{E7C56E72-C80E-453B-9345-FAEAE5DB51A4}v3.7.150.0\,,MsiExec.exe /I{E7C56E72-C80E-453B-9345-FAEAE5DB51A4}
2025-03-09 12:37:20.8128821,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\{F046BD5A-33F4-4ABA-BD2D-0227F6291EC9},{F046BD5A-33F4-4ABA-BD2D-0227F6291EC9},Multiple,Python 3.7.0 Core Interpreter (64-bit),3.7.150.0,Python Software Foundation,20250309,C:\Users\mrkdqp\AppData\Local\Package Cache\{F046BD5A-33F4-4ABA-BD2D-0227F6291EC9}v3.7.150.0\,,MsiExec.exe /I{F046BD5A-33F4-4ABA-BD2D-0227F6291EC9}
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\SchedulingAgent,SchedulingAgent,Multiple,,,,,,,
2009-07-14 04:53:25.7960181,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\WIC,WIC,Multiple,,,,,,,
2025-03-09 12:37:26.4672055,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{D6BDDB48-938A-4384-A7BE-2B4E4931B111},{D6BDDB48-938A-4384-A7BE-2B4E4931B111},Multiple,Python Launcher,3.7.6386.0,Python Software Foundation,20250309,C:\ProgramData\Package Cache\{D6BDDB48-938A-4384-A7BE-2B4E4931B111}v3.7.6386.0\,,MsiExec.exe /X{D6BDDB48-938A-4384-A7BE-2B4E4931B111}
