KeyName,BatchKeyPath,Filename,BatchValueName,LastDetectionTime
ReflectionApplications,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\csrss.exe,csrss.exe,Multiple,
ReflectionApplications,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\dwm.exe,dwm.exe,Multiple,
ReflectionApplications,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\explorer.exe,explorer.exe,Multiple,
ReflectionApplications,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\gadgethost.exe,gadgethost.exe,Multiple,
ReflectionApplications,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\mobsync.exe,mobsync.exe,Multiple,
ReflectionApplications,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\msascui.exe,msascui.exe,Multiple,
ReflectionApplications,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\sidebar.exe,sidebar.exe,Multiple,
ReflectionApplications,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\splwow64.exe,splwow64.exe,Multiple,
ReflectionApplications,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\RADAR\HeapLeakDetection\ReflectionApplications\winlogon.exe,winlogon.exe,Multiple,
