HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-1-0,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:08:55.4938205,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-19,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:08:55.5094878,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-20,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:08:55.5094878,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-21-3772742331-1108507784-3781162965-501,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:09:00.8273235,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-32-544,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:08:55.5094878,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-32-545,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:08:55.5094878,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-32-551,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:08:55.5094878,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-32-555,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:09:00.8273235,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-32-559,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:09:00.8273235,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-6,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:08:55.5094878,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-80-0,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:09:00.8273235,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:09:00.8273235,
C:\Users\hans\Downloads\Artifact-Acquisition-and-Parser\ExtractedFiles\2025-03-10_00-02-50\C\Windows\System32\config\SECURITY,Security,User Accounts (SECURITY),User Accounts,ROOT\Policy\Accounts\S-1-5-90-0,(default),RegBinary,,,,Built-in accounts in SECURITY hive,False,False,2025-02-05 00:08:55.5094878,
